,station,date,year,month,day,weekday,daily_total_rainfall,mean_temp,mean_wind_speed,rained
0,Changi,2014-01-01,2014,1,1,2,0.0,26.7,10.0,0
1,Changi,2014-01-02,2014,1,2,3,0.0,27.4,11.9,0
2,Changi,2014-01-03,2014,1,3,4,0.0,27.1,9.7,0
3,Changi,2014-01-04,2014,1,4,5,0.0,27.1,6.4,0
4,Changi,2014-01-05,2014,1,5,6,18.4,24.8,6.8,1
5,Changi,2014-01-06,2014,1,6,0,31.2,25.3,6.1,1
6,Changi,2014-01-07,2014,1,7,1,0.0,26.7,8.1,0
7,Changi,2014-01-08,2014,1,8,2,0.0,27.1,9.0,0
8,Changi,2014-01-09,2014,1,9,3,2.0,25.9,5.1,1
9,Changi,2014-01-10,2014,1,10,4,0.0,26.8,5.3,0
10,Changi,2014-01-11,2014,1,11,5,5.6,26.6,9.6,1
11,Changi,2014-01-12,2014,1,12,6,18.2,26.2,9.4,1
12,Changi,2014-01-13,2014,1,13,0,0.0,26.9,14.6,0
13,Changi,2014-01-14,2014,1,14,1,0.0,26.5,11.4,0
14,Changi,2014-01-15,2014,1,15,2,0.0,26.0,14.0,0
15,Changi,2014-01-16,2014,1,16,3,0.0,26.2,14.1,0
16,Changi,2014-01-17,2014,1,17,4,0.0,26.0,12.7,0
17,Changi,2014-01-18,2014,1,18,5,0.0,26.1,14.2,0
18,Changi,2014-01-19,2014,1,19,6,0.0,26.0,11.5,0
19,Changi,2014-01-20,2014,1,20,0,0.0,25.7,11.7,0
20,Changi,2014-01-21,2014,1,21,1,0.0,25.6,11.8,0
21,Changi,2014-01-22,2014,1,22,2,0.0,25.5,10.8,0
22,Changi,2014-01-23,2014,1,23,3,0.0,25.9,13.4,0
23,Changi,2014-01-24,2014,1,24,4,0.0,25.8,13.5,0
24,Changi,2014-01-25,2014,1,25,5,0.0,25.8,12.4,0
25,Changi,2014-01-26,2014,1,26,6,0.0,25.6,12.4,0
26,Changi,2014-01-27,2014,1,27,0,0.0,25.9,14.5,0
27,Changi,2014-01-28,2014,1,28,1,0.0,26.5,15.4,0
28,Changi,2014-01-29,2014,1,29,2,0.0,26.5,15.3,0
29,Changi,2014-01-30,2014,1,30,3,0.0,25.8,12.2,0
