,year,month,no_of_rainy_days,total_rainfall,mean_sunshine_hrs,mean_temp,mean_rh
0,1982,1,10,107.1,5.6,25.9,81.2
1,1982,2,5,27.8,7.6,27.1,79.5
2,1982,3,11,160.8,5.1,27.2,82.3
3,1982,4,14,157.0,4.7,27.0,85.9
4,1982,5,10,102.2,5.8,28.0,83.2
5,1982,6,8,59.5,7.3,28.4,80.3
6,1982,7,8,76.3,7.6,28.2,77.6
7,1982,8,11,169.5,5.4,27.7,80.4
8,1982,9,9,54.1,5.2,27.9,80.6
9,1982,10,10,39.3,5.6,27.4,81.5
10,1982,11,13,134.0,5.8,27.3,83.4
11,1982,12,21,494.1,3.3,26.2,87.7
12,1983,1,18,246.0,4.3,26.5,85.6
13,1983,2,2,5.6,9.3,28.1,78.0
14,1983,3,2,18.6,8.9,28.9,76.0
15,1983,4,4,33.6,6.6,29.4,77.2
16,1983,5,11,160.8,5.9,28.3,83.2
17,1983,6,11,94.0,5.9,28.3,82.4
18,1983,7,18,190.0,5.4,27.6,83.7
19,1983,8,10,262.2,6.3,28.1,81.2
20,1983,9,18,170.8,3.8,27.2,84.4
21,1983,10,17,212.7,5.2,27.6,82.5
22,1983,11,18,228.8,3.2,26.6,85.2
23,1983,12,16,370.6,2.7,25.4,88.0
24,1984,1,18,251.2,4.1,25.5,85.8
25,1984,2,19,470.4,4.1,25.8,86.0
26,1984,3,19,361.3,5.3,26.5,85.4
27,1984,4,17,153.1,6.2,27.3,83.8
28,1984,5,12,186.5,6.4,27.3,84.1
29,1984,6,14,255.0,5.4,27.5,83.1
30,1984,7,12,127.2,5.7,27.2,83.7
31,1984,8,13,102.7,6.0,27.4,84.1
32,1984,9,17,186.7,4.9,26.8,83.9
33,1984,10,11,187.5,5.3,27.4,82.5
34,1984,11,17,127.7,4.3,26.5,86.3
35,1984,12,22,277.4,3.3,26.0,86.7
36,1985,1,7,111.1,8.7,26.6,81.5
37,1985,2,11,79.3,6.5,27.0,84.0
38,1985,3,13,88.0,5.6,27.1,83.9
39,1985,4,14,110.5,5.5,27.5,83.8
40,1985,5,12,70.1,5.7,28.0,83.4
41,1985,6,14,37.0,5.8,28.2,79.4
42,1985,7,17,131.8,5.3,27.0,83.1
43,1985,8,11,56.9,6.2,27.7,80.4
44,1985,9,18,110.7,5.0,26.9,83.1
45,1985,10,21,169.0,4.1,26.7,84.7
46,1985,11,21,179.4,4.1,26.6,85.0
47,1985,12,22,340.1,4.6,26.1,86.2
48,1986,1,13,308.2,3.9,25.7,83.9
49,1986,2,2,26.7,7.2,26.9,78.4
50,1986,3,17,353.4,4.6,26.4,86.6
51,1986,4,14,150.0,6.2,27.4,85.3
52,1986,5,13,145.1,6.1,28.2,81.8
53,1986,6,13,122.9,6.8,27.9,82.5
54,1986,7,12,109.7,6.2,27.9,79.9
55,1986,8,11,72.9,5.6,28.3,77.3
56,1986,9,22,396.0,4.8,26.7,84.4
57,1986,10,20,227.3,5.0,26.9,85.0
58,1986,11,21,256.7,4.5,26.6,84.1
59,1986,12,16,367.2,5.4,26.3,85.2
60,1987,1,16,568.6,4.0,25.5,86.0
61,1987,2,7,86.9,9.2,26.6,79.0
62,1987,3,12,132.5,6.9,27.5,83.2
63,1987,4,10,72.5,6.2,27.9,82.8
